Date,Time,Order Number,Item Description,Quantity Sold,Sold Price
2026-04-01,17:12:47,16-14438-23833,Pokemon 15 Card Lot TCG Ultra Rare + Hits Only | No Bulk | IR DR EX VMAX V,1,9.89
2026-04-01,17:27:00,07-14451-50363,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,12.99
2026-04-01,17:59:44,12-14444-27538,Pokemon 15 Card Lot TCG Ultra Rare + Hits Only | No Bulk | IR DR EX VMAX V,1,19.38
2026-04-02,7:41:07,19-14436-24068,Pokemon 15 Card Lot TCG Ultra Rare + Hits Only | No Bulk | IR DR EX VMAX V,2,21.54
2026-04-02,11:43:54,07-14454-77047,Pokemon 15 Card Lot TCG Ultra Rare + Hits Only | No Bulk | IR DR EX VMAX V,1,9.89
2026-04-02,12:16:27,01-14464-25424,Pokemon 15 Card Lot TCG Ultra Rare + Hits Only | No Bulk | IR DR EX VMAX V,1,9.89
2026-04-03,0:46:02,27-14427-79001,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,4,35.6
2026-04-03,8:13:21,27-14429-03745,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,1,9.89
2026-04-03,9:39:17,02-14465-97015,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,2,19.38
2026-04-03,13:55:19,17-14444-70376,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,3,28.17
2026-04-03,16:20:53,14-14449-65833,Pokémon Rosa's Encouragement SIR 123/088 - PERFECT ORDER ENGLISH MINT CONDITION,1,95
2026-04-03,18:22:40,23-14436-93527,"NFL 15 Football Card Lot | 1 Auto, Jersey or #d + Rookie/Insert/Hit | No Base",1,11.99
2026-04-03,19:19:41,22-14438-47256,Adam Vinatieri /94 SP 2025 Panini Instant #440 Patriots Legend HOF Ready To Ship,1,6.99
2026-04-03,19:19:42,22-14438-47256,2023 Panini Illusions - Instant Impact Jayden Reed Rookie Card RC #II-JRD,1,4.25
